PASS | version | version: 3.6.59+131
PASS | package_id_kotlin | package com.example.kouroshyar
PASS | no_buildconfig | 
PASS | runtime_version_fallback | 
PASS | application_id | 
PASS | namespace | 
PASS | bot_version | 1.3.0
PASS | classifier_version | 
PASS | holiday_revision_floor | 4
PASS | working_revision_floor | 4
PASS | python_parse | 24 files
PASS | json_parse | 17 files
PASS | yaml_parse | 7 files
PASS | all_31_province_sources | 31 provinces
PASS | verified_ids_unique | 13 records
PASS | county_verified_records | 3 records
PASS | dehloran_holiday | 
PASS | khuzestan_changes | 
PASS | bot_not_triggered_by_pubspec | 
PASS | bot_manual_overrides_trigger | 
PASS | build_dynamic_artifact | 
PASS | build_version_checks | 
PASS | android_signing_secrets | 
PASS | holiday_private_secret | 
PASS | local_dart_imports | all resolved
PASS | modified_dart_delimiters | balanced
PASS | no_base_source_deletions | none
PASS | no_sensitive_or_binary_artifacts | none
SUMMARY | 28/28 passed
